id,name,website,domain,hq_country,hq_city,entity_type,sectors,founded_year,ownership,funding_stage,total_disclosed_funding,last_funding_date,status,evidence_url,source,source_date,confidence
osapiens,osapiens,https://osapiens.com,osapiens.com,Germany,Mannheim,erp-pim-plm,"food,automotive",,DPP offering operated by osapiens Services GmbH,series-a-plus,USD 100m,2026-03-27,active,https://osapiens.com/solutions/dpp/,"official company website, imprint, and funding release",2026-07-28,verified
otokod-technologies-dppvisa,Otokod Technologies (DPPVisa),https://www.dppvisa.com,dppvisa.com,Turkey,Istanbul,platform,,,DPPVisa brand of Otokod Teknoloji A.Ş.,,,,active,https://www.dppvisa.com/en,official DPPVisa and Otokod websites and Otokod legal notice,2026-07-28,verified
ovido,Ovido,https://www.ovido.eu,ovido.eu,Finland,Helsinki,platform,"batteries,textiles,electronics",,,,,,active,https://www.ovido.eu/,official product website and privacy policy,2026-07-28,verified
autonms,PassPer,https://www.passper.eu,passper.eu,Cyprus,,platform,"batteries,textiles,general,tyres,construction,electronics,chemicals",,,,,,active,https://www.passper.eu/platform.html,"official product website; the site brands itself PassPer and names no operating entity - it has no imprint, impressum or legal notice. The name ""AutoNMS"" came from an aggregator and could not be sourced to the site on 2026-07-28 or 2026-07-30, so the register records the brand it can see.",2026-07-28,unverified
passportlab,PassportLab,https://www.passportlab.io,passportlab.io,Germany,Elsdorf,platform,"electronics,batteries,construction",,product of NextGate Digital UG (haftungsbeschränkt),,,,active,https://passportlab.io/,official product website and imprint,2026-07-28,verified
peftrust,Peftrust,https://www.peftrust.com,peftrust.com,France,Metz,platform,textiles,,product of L'EMPREINTE SAS,,,,active,https://www.peftrust.com/,official product website and legal notice,2026-07-28,verified
plasafe,Plasafe,https://www.plasafe.com,plasafe.com,Spain,Puigdalber,not-a-supplier,"batteries,textiles,tyres",,,,,,active,https://www.plasafe.com/en/services.html,official company website and legal notice,2026-07-28,verified
polytag-limited,Polytag Limited,https://polytag.io,polytag.io,United Kingdom,Deeside,identity-carrier,,2018,,series-a-plus,,2024-03-12,active,https://polytag.io/,"official product website, Companies House, and funding release",2026-07-28,verified
primafelicitas,PrimaFelicitas,https://www.primafelicitas.com,primafelicitas.com,United Kingdom,London,consultancy,,2014,controlled by Priti Upadhyay (75%+ shares),,,,active,https://www.primafelicitas.com/traceability/traceability-with-blockchain-technology/,official company website and Companies House,2026-07-28,verified
product-dna,Product DNA,https://www.productdna.com,productdna.com,Switzerland,Lausanne,platform,,,,,,,active,https://www.productdna.com/solutions,official company website,2026-07-28,claimed
protag-as,ProTag AS,https://protagsystems.io,protagsystems.io,Norway,Fjerdingby,platform,"batteries,construction,electronics",,,grant-funded,,,active,https://protagsystems.io/,"official product website, Norwegian register, and funding announcement",2026-07-28,verified
provenant,Provenant,https://www.provenant.com,provenant.com,Netherlands,Amsterdam,platform,"textiles,furniture",,trading name of Protokol DPP B.V.,,,,active,https://www.provenant.com/eu-digital-product-passport,official product website and terms of service,2026-07-28,verified
psqr,PSQR,https://psqr.eu,psqr.eu,Denmark,,platform,"batteries,textiles,electronics,construction,chemicals",,trading name of Persequor ApS,,,,active,https://psqr.eu/digital-product-passport/,official product website and privacy policy,2026-07-28,verified
qliktag-software-inc,Qliktag Software Inc.,https://qliktag.com,qliktag.com,USA,Newport Beach,platform,,,,,,,active,https://qliktag.com/digital-product-passport-software-solution/,official company website and privacy policy,2026-07-28,verified
quifactum,Quifactum,https://www.quifactum.com,quifactum.com,Belgium,Brugge,platform,textiles,,,,,,active,https://www.quifactum.com/en,official company website and privacy policy,2026-07-28,verified
r-cycle,R-Cycle,https://www.r-cycle.org,r-cycle.org,Germany,Troisdorf,project-consortium,general,,operated by ProData GmbH,,,,active,https://www.r-cycle.org/en/digital-product-passport.html,"official website and imprint; reclassified 2026-07-30: a cross-industry community establishing an open traceability standard, with 50+ member organisations, not a commercial supplier",2026-07-28,verified
ramboll,Ramboll,https://www.ramboll.com,ramboll.com,Denmark,Copenhagen,consultancy,,,foundation-controlled (Ramboll Foundation),,,,active,https://www.ramboll.com/insights/resource-management-and-circular-economy/digital-product-passports-the-key-to-sustainable-products-in-the-age-of-transparency,"official company website, privacy notice, and annual report",2026-07-28,verified
realign,REALIGN,https://www.realign.tech,realign.tech,France,Paris,platform,textiles,,,,,,active,https://www.realign.tech/,official company website and legal notice,2026-07-28,verified
regilient,Regilient,https://www.regilient.ai,regilient.ai,,,platform,electronics,,operated by Acquis Engineering LLP,,,,active,https://www.regilient.ai/blog/digital-product-passport-dpp-eu-espr-compliance,"official company website, privacy policy, and contact page",2026-07-28,unverified
renoon,Renoon,https://www.renoon.com,renoon.com,Netherlands,Amsterdam,platform,textiles,,operated by Renoon Tech B.V.,,,,active,https://www.renoon.com/digital-product-passport,official company website and privacy policy,2026-07-28,verified
retraced,Retraced,https://www.retraced.com,retraced.com,Germany,Dusseldorf,platform,textiles,,,,,,active,https://www.retraced.com/pages/digital-product-passport,official company website and imprint,2026-07-28,verified
rosella-street,Rosella Street,https://www.rosellastreet.com,rosellastreet.com,Australia,,platform,construction,,,,,,active,https://www.rosellastreet.com/,official product site; listed on the NSW government supplier register,2026-07-29,claimed
sacred-valley-tech,Sacred Valley Tech,https://sacredvalleytech.com,sacredvalleytech.com,Germany,Cologne,platform,textiles,,,,,,active,https://sacredvalleytech.com/en/furmarken,official company website and imprint,2026-07-28,verified
sap,SAP,https://www.sap.com,sap.com,Germany,Walldorf,erp-pim-plm,,,public (XETRA: SAP),public,,,active,https://help.sap.com/docs/SAP_BUSINESS_NETWORK_ASSET_COLLABORATION/61e8324ac84e49c5a3a823b690be7883/8a3f23cec33b4a5b90f6fd0160f1cfef.html,official integrated report and product documentation,2026-07-28,verified
scantrust,Scantrust,https://www.scantrust.com,scantrust.com,Switzerland,Lausanne,identity-carrier,"batteries,textiles,tyres,electronics,construction",,,,,,active,https://www.scantrust.com/,official company website and privacy policy,2026-07-28,verified
seamless-source,Seamless Source,https://seamlesssource.com,seamlesssource.com,United Kingdom,Nottingham,platform,textiles,,trading name of Chanodil Ltd,,,,active,https://seamlesssource.com/,official company website and user terms,2026-07-28,verified
selinko,Selinko,https://www.selinko.com,selinko.com,Belgium,Wavre,identity-carrier,,,TOPPAN Holdings (100%),subsidiary,,2024-10-30,acquired,https://www.selinko.com/,government business register and official corporate acquisition release,2026-07-28,verified
siemens,Siemens,https://www.siemens.com,siemens.com,Germany,Munich,erp-pim-plm,batteries,,public (XETRA: SIE),public,,,active,https://www.siemens.com/en-us/industries/batteries/battery-passport/,official annual financial report and product page,2026-07-28,verified
smart-drs,Smart DRS,https://dpp.gs,dpp.gs,Ireland,Dublin,platform,"batteries,textiles,general,tyres,furniture,construction,electronics,chemicals",,Sensoneo group,subsidiary,,,active,https://dpp.gs/terms/,"official product site, imprint, and terms",2026-07-28,verified
sourcemap,Sourcemap,https://www.sourcemap.com,sourcemap.com,USA,New York,middleware,textiles,,,series-a-plus,USD 20m,2023-06-06,active,https://www.sourcemap.com/solutions/corporate-responsibility,"official company website, privacy policy, and funding announcement",2026-07-28,verified
spherity,Spherity GmbH,https://www.spherity.com,spherity.com,Germany,Dortmund,platform,"batteries,textiles,electronics",,,,EUR 2.5m,2024-03-13,active,https://www.spherity.com/digital-product-passport,"official company website, imprint, and funding announcement",2026-07-28,verified
sqanit,sqanit,https://www.sqanit.com,sqanit.com,Germany,Munich,platform,,,operator of dpp.cloud,,,,active,https://www.sqanit.com/,official company website and imprint,2026-07-28,verified
stefano-cipriani-studio,Stefano Cipriani Studio,https://reeco.eco,reeco.eco,Italy,Prato,platform,textiles,,operator of Reeco,,,,active,https://reeco.eco/,official product site and terms of use,2026-07-28,verified
syncforce,SyncForce,https://www.syncforce.com,syncforce.com,Netherlands,Eindhoven,erp-pim-plm,,,,,,,active,https://www.syncforce.com/discover/data-mastery/,official company website and privacy policy,2026-07-28,verified
t-systems,T-Systems,https://www.t-systems.com,t-systems.com,Germany,Bonn,platform,,,subsidiary of Deutsche Telekom AG; DPP product line operated by T-Systems International GmbH,subsidiary,,,active,https://www.t-systems.com/de/en/industries/manufacturing/solutions/product-lifecycle-management/digital-product-passport,official corporate website and imprint,2026-07-28,verified
tappr,Tappr,https://www.usetappr.com,usetappr.com,Netherlands,Rotterdam,platform,textiles,,operated by Tappr Network B.V.,,,,active,https://www.usetappr.com/,official product site and privacy policy,2026-07-28,verified
temera,Temera,https://temera.it,temera.it,Italy,Florence,identity-carrier,"textiles,cosmetics",2009,subsidiary of Beontag,subsidiary,,2022-01-02,acquired,https://temera.it/en/news/press/temera-and-dora-bruschi-a-digital-passport-for-eco-friendly-cosmetic-products.html,"official corporate privacy policy, product material, and acquirer announcement",2026-07-28,verified
terra-matters-gie,Terra Matters GIE,https://terramatters.net,terramatters.net,Luxembourg,Luxembourg,standards-body,general,2022,not-for-profit economic interest grouping,,,,active,https://terramatters.net/en/services_20,official organisation website and legal terms,2026-07-28,verified
tex-tracer,Tex.Tracer,https://www.tex-tracer.com,tex-tracer.com,Netherlands,Amsterdam,platform,textiles,,operated by Tex Tracer B.V.,,,,active,https://www.tex-tracer.com/platform/digital-product-passport,official product site and terms and conditions,2026-07-28,verified
textilegenesis,TextileGenesis,https://www.textilegenesis.com,textilegenesis.com,Netherlands,Amsterdam,platform,textiles,2018,majority-owned subsidiary of Lectra (50.5%),subsidiary,,2023-01-09,acquired,https://www.lectra.com/en/fashion/products/textilegenesis,official parent-company product and investor materials,2026-07-28,claimed
tieback,tieback,https://www.tieback.io,tieback.io,United Kingdom,London,platform,"textiles,electronics,food",,trade name of Startwitus Limited,,,,active,https://www.tieback.io/,official product website and terms of use,2026-07-28,verified
tilkal,Tilkal,https://www.tilkal.com,tilkal.com,France,Paris,platform,,,,,,,active,https://www.tilkal.com/traceability-use-cases,French government business register and official product website,2026-07-28,verified
traceable-digital,Traceable Digital,https://traceable.digital,traceable.digital,India,Noida,platform,"batteries,textiles,tyres,electronics,construction,furniture",,operated by Traceable Digital Private Limited,,,,active,https://traceable.digital/,official company website and privacy policy,2026-07-28,verified
traced-systems,Traced Systems,https://tracedsystems.com,tracedsystems.com,Denmark,Copenhagen,platform,"textiles,batteries",,operated by Traced Systems ApS,,,,active,https://tracedsystems.com/,official product website and terms of service,2026-07-28,verified
tracelia,Tracelia,https://tracelia.com,tracelia.com,Poland,Warsaw,not-a-supplier,textiles,,founder-operated project; no incorporated entity,,,,active,https://tracelia.com/terms,official project website and terms,2026-07-28,verified
trackvision-ai-ltd,TrackVision AI Ltd,https://trackvision.ai,trackvision.ai,United Kingdom,St Albans,platform,,2023,,,,,active,https://trackvision.ai/solutions/dpp,UK Companies House and official product website,2026-07-28,verified
transpareo-ag,Transpareo AG,https://transpareo.com,transpareo.com,Switzerland,Zug,platform,"textiles,electronics,batteries,construction,cosmetics",,,,,,active,https://transpareo.com/en,official product website and imprint,2026-07-28,verified
treverum,TreVerum,https://www.treverum.com,treverum.com,Italy,,platform,"textiles,batteries,furniture,chemicals",,SkyBerg Full Stack Solutions (P.IVA 16466751001),,,,active,https://treverum.com/termini,official company website,2026-07-30,claimed
trustrace,TrusTrace,https://trustrace.com,trustrace.com,Sweden,Stockholm,platform,textiles,,operated by Swin Technologies AB,series-a-plus,USD 24m,2024-01-18,active,https://trustrace.com/solutions/digital-product-passport-dpp-compliance,"official corporate privacy policy, product page, and funding announcement",2026-07-28,verified
twintag,Twintag,https://twintag.com,twintag.com,Belgium,Herentals,platform,,,operated by Twintag NV,,,,active,https://twintag.com/use-cases/digital-product-passport,official product website and privacy policy,2026-07-28,verified
undo,UNDO,https://undo.software,undo.software,Belgium,Hoboken,platform,,,trade name of CAUA SUI VC,,,,active,https://undo.software/digital_product_passport_management_system/,official product website and terms of use,2026-07-28,verified
unisot,UNISOT,https://unisot.com,unisot.com,Norway,Kløfta,platform,"textiles,construction,food",,,,,,active,https://unisot.com/digital-product-passport/,Norwegian business register and official product website,2026-07-28,verified
unopim,UnoPIM,https://unopim.com,unopim.com,India,Noida,erp-pim-plm,,,open-source product operated by Webkul Software Private Limited,,,,active,https://unopim.com/digital-product-passport-pim/,official UnoPIM and operator websites,2026-07-28,claimed
vechain,VeChain,https://vechain.org,vechain.org,San Marino,Domagnano,middleware,,2021,VeChain Foundation San Marino S.r.l.; no parent company,,,,active,https://vechain.org/,official MiCAR legal white paper and network website,2026-07-28,verified
wetrack,WeTrack,https://wetrack.fashion,wetrack.fashion,Switzerland,Carouge,platform,textiles,,Wetrack/weLoop service operated by Polychrome Sàrl,,,,active,https://wetrack.fashion/,official product website and terms,2026-07-28,verified
wiseside,Wiseside,https://www.wiseside.com,wiseside.com,Italy,Turin,platform,food,,operator of iChain4DPP,,,,active,https://www.wiseside.com/en/ichain4dpp-en/,official company privacy policy and product page,2026-07-28,verified
worldline,Worldline,https://worldline.com,worldline.com,France,Paris La Défense,middleware,"textiles,electronics,food,automotive,cosmetics",,public (Euronext Paris: WLN); DPP-relevant product line is Worldline Track and Trace,public,,,active,https://worldline.com/en/home/main-navigation/resources/infographics/are-you-ready-for-digital-product-passport,"official corporate imprint, registration document, and product material",2026-07-28,verified
zeropact,ZeroPact,https://zeropact.co,zeropact.co,Portugal,,platform,,,"operated by ZEROPACT, LDA",grant-funded,EUR 0.331m,,active,https://zeropact.co/digital-product-passport,Portuguese Industrial Property Bulletin and official company funding and product pages,2026-07-28,verified
